Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
02/15/2023,53069,7,Wahkiakum County,WA,96,2463,54.9,2454,56.6,2398,59.5,2302,61.9,1084,73.2,2285,50.9,2279,52.6,127,20.8,2236,55.5,2152,57.8,1027,69.3,1261,55.2,1261,55.3,1253,56,1224,56.9,1012,64.1,692,67.4,677,66.9,518,74.9,A,2,2,1,2,2,3,Non-metro,6,6,5,6,6,7,4,4,4,3,8,8,8,7,4488,4332,612,4027,3720,1481,799,18.4,794,19.7,778,20.9,508,34.3
02/15/2023,06039,7,Madera County,CA,97.7,98752,62.8,98355,67.4,93395,72.6,84403,73.9,20683,91.6,87549,55.6,87366,59.9,12229,38.6,83148,64.6,75137,65.8,18614,82.5,42688,48.8,42687,48.9,42178,50.7,40156,53.4,24632,66,13638,73.3,10973,44.5,7134,52.3,D,14,14,14,14,15,16,Metro,2,2,2,2,3,4,15,16,16,15,3,4,4,3,157327,145865,31687,128621,114178,22573,13169,9,12977,10.1,12594,11,6370,28.2
02/15/2023,47011,7,Bradley County,TN,97.8,52527,48.6,52434,51.5,51502,55.4,49024,58,14763,78.8,46634,43.1,46603,45.8,2868,16.5,45845,49.3,43735,51.8,13809,73.8,21039,45.1,21039,45.1,20939,45.7,20555,47,15271,58.7,9377,67.9,7117,46.6,4976,53.1,C,9,9,9,9,10,11,Metro,1,1,1,1,2,3,11,11,11,11,3,3,3,3,108110,101833,17365,92930,84468,18724,6816,6.7,6774,7.3,6674,7.9,3906,20.9
02/15/2023,18005,7,Bartholomew County,IN,98.5,58994,70.4,58264,74.4,55341,78.5,51323,80.3,13104,94.6,53971,64.4,53655,68.5,6084,42.1,51216,72.6,47571,74.4,12321,89,29823,55.3,29808,55.6,29090,56.8,27589,58,17296,71.5,9934,80.6,9268,53.6,6188,62.3,B,6,7,7,7,7,8,Metro,2,3,3,3,3,4,8,8,8,8,4,4,4,4,83779,78336,14436,70530,63900,13851,11815,15.1,11435,16.2,10915,17.1,5310,38.3
02/15/2023,27111,7,Otter Tail County,MN,94.7,34155,58.1,33957,61.4,32896,65.5,31193,67.9,13274,92.4,31309,53.3,31254,56.5,2575,27.5,30319,60.4,28679,62.4,12246,85.2,21138,67.5,21136,67.6,20955,69.1,20361,71,16275,80.7,10583,86.4,10498,64.5,7684,72.6,B,6,6,5,6,6,8,Non-metro,6,6,5,6,6,8,8,8,8,8,8,8,8,8,58746,55307,9356,50207,45951,14368,12168,22,12068,24,11853,25.8,7564,52.6
02/15/2023,18039,7,Elkhart County,IN,98.5,105335,51,104846,54.9,100915,59.6,93099,62.1,25969,83.2,93533,45.3,93379,48.9,9634,23.5,90408,53.4,83745,55.9,24305,77.9,43949,47,43942,47.1,43450,48.1,41586,49.7,28849,61.5,17200,70.8,12100,41.9,8604,50,D,13,13,13,14,14,15,Metro,1,1,1,2,2,3,15,15,15,15,3,3,3,3,206341,190926,41027,169309,149899,31210,14114,7.4,13899,8.2,13464,9,7476,24
02/15/2023,13205,7,Mitchell County,GA,88.8,12045,55.1,12041,58.5,11794,63.3,11139,65.7,3167,85.9,10799,49.4,10798,52.4,739,20.3,10612,56.9,10059,59.3,2997,81.3,4508,41.7,4508,41.7,4489,42.3,4423,44,3405,57.2,1972,65.8,1306,38.4,902,45.7,D,13,14,13,14,14,16,Non-metro,5,6,5,6,6,8,15,15,15,15,7,7,7,7,21863,20591,3635,18642,16956,3687,1225,5.9,1221,6.5,1211,7.1,729,19.8
02/15/2023,08061,7,Kiowa County,CO,97,557,39.6,556,43,550,46.9,533,49.6,237,73.1,536,38.1,535,41.4,23,10.6,529,45.1,512,47.7,231,71.3,302,56.3,302,56.4,300,56.7,294,57.4,249,69.4,169,73.2,134,53.8,106,62.7,A,1,1,1,1,1,3,Non-metro,5,5,5,5,5,7,4,4,4,3,8,8,8,7,1406,1292,218,1173,1074,324,134,10.4,132,11.3,128,11.9,90,27.8
02/15/2023,26013,7,Baraga County,MI,94.2,5671,69.1,NA,NA,NA,NA,NA,NA,NA,NA,5161,62.9,5159,65.4,200,18.6,5106,69.5,4959,72.8,1617,86.6,2465,47.8,2465,47.8,2460,48.2,2429,49,1956,60.6,1161,71.8,681,34.8,486,41.9,B,6,7,5,7,7,8,Non-metro,6,7,5,7,7,8,7,7,7,7,7,7,7,7,8209,7888,1077,7349,6811,1867,662,8.4,661,9,651,9.6,429,23
02/15/2023,37089,7,Henderson County,NC,96.8,100171,85.3,99676,89.2,96897,93.9,92397,95,38970,95,76249,64.9,76053,68,5538,33.9,74029,71.7,70515,73.9,29819,95,30494,40,30487,40.1,30222,40.8,29428,41.7,23189,49,16027,53.7,9733,42,7320,45.7,B,6,7,6,7,7,8,Metro,2,3,2,3,3,4,7,7,7,6,3,3,3,2,117417,111764,16313,103234,95451,30961,21640,19.4,21391,20.7,21007,22,13592,43.9
02/15/2023,08111,7,San Juan County,CO,97,843,95,829,95,777,95,741,95,196,95,717,95,714,95,59,92.2,685,95,655,95,176,93.6,428,59.7,428,59.9,412,60.1,392,59.8,225,66.6,137,77.8,162,72,110,80.3,B,8,8,8,8,8,8,Non-metro,8,8,8,8,8,8,8,8,8,7,8,8,8,7,728,701,64,668,637,188,257,36.7,250,37.4,239,37.5,104,55.3
02/15/2023,27031,7,Cook County,MN,94.7,4940,90.4,4869,93,4666,94.9,4474,95,1682,95,4560,83.5,4511,86.1,375,62.7,4320,87.8,4136,89.2,1593,95,3157,69.2,3147,69.8,3059,70.8,2959,71.5,2128,79.3,1367,85.8,1759,82.7,1213,88.7,A,4,4,4,4,4,4,Non-metro,8,8,8,8,8,8,4,4,4,4,8,8,8,8,5463,5237,598,4919,4639,1601,2234,42.7,2177,44.3,2120,45.7,1191,74.4
02/15/2023,04023,7,Santa Cruz County,AZ,98.1,85259,95,84397,95,73725,95,57838,95,11597,95,61460,95,61242,95,17182,95,54448,95,44060,95,9934,95,27784,45.2,27776,45.4,26474,48.6,22819,51.8,13564,66.9,7322,73.7,6592,48.6,4187,57.2,D,16,16,16,16,16,16,Non-metro,8,8,8,8,8,8,15,15,16,15,7,7,8,7,46498,43279,9156,38439,34123,8591,9327,21.6,9001,23.4,8573,25.1,3700,43.1
02/15/2023,51061,7,Fauquier County,VA,78.2,57895,81.3,57582,85.7,55427,91.2,50968,93.1,13562,95,47589,66.8,47391,70.6,5709,46,45526,74.9,41682,76.1,10489,86.9,17942,37.7,17931,37.8,17531,38.5,16520,39.6,11035,46.6,5622,53.6,6014,54.5,3607,64.2,A,3,3,3,3,3,4,Metro,3,3,3,3,3,4,2,2,2,2,2,2,2,2,71222,67168,12398,60766,54770,12072,9072,13.5,8874,14.6,8523,15.6,4133,34.2
02/15/2023,40087,7,McClain County,OK,93.8,24496,60.5,24399,64,23826,70.1,22355,74.1,6378,95,20376,50.3,20337,53.3,1694,21.2,19876,58.4,18643,61.8,5522,86.7,8559,42,8556,42.1,8468,42.6,8196,44,6085,56.6,3670,66.5,2676,44,1856,50.6,B,6,6,5,6,6,8,Metro,2,2,1,2,2,4,7,7,7,7,3,3,3,3,40474,38149,7999,34008,30150,6367,3795,9.9,3744,11,3629,12,2020,31.7
02/15/2023,39077,7,Huron County,OH,98.6,30285,52,30228,55.4,29592,60.1,28097,63.4,9166,89.2,28646,49.2,28619,52.5,1956,19.1,28044,57,26663,60.2,8839,86,15384,53.7,15384,53.8,15280,54.5,14940,56,11424,69.2,6894,78,6109,53.5,4270,61.9,B,5,6,5,6,6,8,Non-metro,5,6,5,6,6,8,8,8,8,7,8,8,8,7,58266,54547,10258,49221,44289,10279,6696,12.3,6648,13.5,6546,14.8,3953,38.5
02/15/2023,37015,7,Bertie County,NC,96.8,13491,71.2,13480,74.4,13293,78.9,12796,81.8,4646,95,10381,54.8,10378,57.3,551,22.2,10237,60.7,9827,62.8,3601,80.4,3833,36.9,3833,36.9,3829,37.4,3777,38.4,3043,45.6,1842,51.2,1209,39.7,814,44.2,D,14,14,13,14,14,16,Non-metro,6,6,5,6,6,8,14,14,14,14,6,6,6,6,18947,18126,2479,16854,15647,4479,1690,9.3,1688,10,1671,10.7,985,22
02/15/2023,17191,7,Wayne County,IL,97.9,7062,43.6,7060,46.4,6971,50.5,6731,53.6,2680,74.4,6536,40.3,6535,42.9,307,11.6,6449,46.7,6228,49.6,2518,69.9,3239,49.6,3239,49.6,3230,50.1,3190,51.2,2569,60.6,1767,70.2,1149,44.7,864,48.9,B,5,5,5,5,5,7,Non-metro,5,5,5,5,5,7,7,8,8,7,7,8,8,7,16215,15219,2655,13812,12564,3604,1131,7.4,1125,8.1,1110,8.8,717,19.9
02/15/2023,13221,7,Oglethorpe County,GA,88.8,7383,48.4,7367,51.1,7199,54.4,6801,56.2,2153,72.8,6641,43.5,6635,46,463,19.9,6511,49.2,6172,51,2018,68.2,3148,47.4,3147,47.4,3134,48.1,3067,49.7,2318,60.1,1424,70.6,1083,46.7,735,51.6,C,9,9,9,9,10,11,Metro,1,1,1,1,2,3,11,11,11,11,3,3,3,3,15259,14424,2325,13225,12099,2958,1294,9,1285,9.7,1262,10.4,712,24.1
02/15/2023,48223,7,Hopkins County,TX,98.9,16871,45.5,16856,48.5,16573,53,15758,56,5293,76.9,14782,39.9,14776,42.5,902,13.6,14561,46.5,13874,49.3,4838,70.2,5498,37.2,5498,37.2,5480,37.6,5432,39.2,4434,50.6,2937,60.7,1707,38.5,1302,44.3,C,9,9,9,9,9,11,Non-metro,5,5,5,5,5,7,10,10,10,10,6,6,6,6,37084,34754,6631,31285,28123,6887,1829,5.3,1822,5.8,1798,6.4,1184,17.2
02/15/2023,55133,7,Waukesha County,WI,96.7,319437,79,316250,82.5,301842,86.1,279944,88,82046,95,293503,72.6,291517,76,33681,51.7,278034,79.3,257836,81,76855,95,178970,61,178888,61.4,174927,62.9,166883,64.7,111611,74.3,63673,82.8,67071,60.1,44274,69.5,A,3,3,4,3,4,4,Metro,3,3,4,3,4,4,4,4,4,4,4,4,4,4,404198,383350,65204,350448,318146,77551,86862,22.7,84740,24.2,81727,25.7,41521,53.5
02/15/2023,48215,7,Hidalgo County,TX,98.9,1056947,95,1044613,95,916228,95,775178,95,117917,95,694682,80,693735,87.4,156854,76.8,628468,92,536881,91.1,92866,94.4,244356,35.2,244314,35.2,235164,37.4,222975,41.5,122598,56.9,59269,63.8,53859,43.9,30576,51.6,D,16,16,16,16,16,16,Metro,4,4,4,4,4,4,14,14,15,14,2,2,3,2,868707,793923,204348,683134,589575,98328,92156,11.6,89387,13.1,85169,14.4,28650,29.1
02/15/2023,53009,7,Clallam County,WA,96,59929,77.5,59607,80.6,57959,84.3,55354,86,23178,95,54794,70.9,54643,73.9,3903,40.7,53188,77.4,50740,78.8,21163,89.8,36727,67,36710,67.2,36259,68.2,35393,69.8,27782,81.8,19139,90.4,19409,69.9,14532,75.9,C,11,11,11,11,11,12,Non-metro,7,7,7,7,7,8,12,12,12,12,8,8,8,8,77331,73971,9585,68750,64386,23554,22468,30.4,22242,32.4,21947,34.1,14137,60
02/15/2023,21007,7,Ballard County,KY,94.1,3461,43.9,3458,46.1,3385,49.4,3260,52.3,1111,64.3,3145,39.9,3145,42,166,13.2,3083,45,2979,47.7,1054,61,1866,59.3,1866,59.3,1856,60.2,1830,61.4,1503,77.8,964,91.5,726,48.3,549,57,B,5,5,5,5,5,6,Non-metro,5,5,5,5,5,6,8,8,8,8,8,8,8,8,7888,7495,1256,6857,6239,1727,722,9.6,721,10.5,711,11.4,478,27.7
02/15/2023,01039,7,Covington County,AL,92.6,17639,47.6,17637,50.6,17470,55.1,16820,58.2,6362,80.3,14491,39.1,14491,41.6,676,11.3,14364,45.3,13815,47.8,5387,68,5100,35.2,5100,35.2,5091,35.4,5051,36.6,4295,45.4,2948,54.7,1390,32.4,1040,35.3,C,9,9,9,9,9,11,Non-metro,5,5,5,5,5,7,10,10,10,10,6,6,6,6,37049,34850,5963,31686,28887,7920,1394,4,1389,4.4,1378,4.8,951,12
02/15/2023,21077,7,Gallatin County,KY,94.1,4089,46.1,4082,49.1,3978,53.1,3710,55,1018,81,3731,42.1,3730,44.9,325,20.8,3637,48.6,3405,50.4,971,77.2,1732,46.4,1732,46.4,1720,47.3,1667,49,1294,62.3,711,73.2,570,44,370,52,C,9,9,9,9,10,11,Metro,1,1,1,1,2,3,11,11,11,11,3,3,3,3,8869,8310,1559,7488,6751,1257,603,7.3,600,8,583,8.6,342,27.2
02/15/2023,48487,7,Wilbarger County,TX,98.9,7472,58.5,7467,62.2,7368,67.2,7062,71,2018,83.4,6770,53,6770,56.4,343,16.6,6698,61.1,6427,64.6,1918,79.2,2718,40.1,2718,40.1,2718,40.6,2698,42,2065,56.5,1275,66.5,801,38.8,559,43.8,D,14,14,13,14,14,15,Non-metro,6,6,5,6,6,7,15,15,15,15,7,7,7,7,12769,12012,2064,10971,9948,2421,931,7.8,931,8.5,924,9.3,544,22.5
02/15/2023,48037,7,Bowie County,TX,98.9,45935,49.3,45911,52.6,45270,57.5,43230,60.7,13264,83.8,37909,40.7,37897,43.4,2110,13.1,37385,47.5,35787,50.2,11470,72.4,13775,36.3,13775,36.3,13728,36.7,13617,38.1,10503,48.6,6616,57.7,3700,35.2,2662,40.2,D,13,13,13,13,14,15,Metro,1,1,1,1,2,3,14,14,14,14,2,2,2,2,93245,87361,16097,78727,71264,15832,4394,5,4382,5.6,4342,6.1,2730,17.2
02/15/2023,17049,7,Effingham County,IL,97.9,18486,54.4,18431,58.2,17994,63,17208,66.5,5872,95,17084,50.2,17061,53.8,1103,18.9,16675,58.4,15958,61.7,5500,90.4,9069,53.1,9069,53.2,9010,54,8863,55.5,6695,67.2,4250,77.3,3406,50.9,2498,58.8,A,2,2,1,2,2,4,Non-metro,6,6,5,6,6,8,4,4,4,3,8,8,8,7,34008,31692,5822,28550,25870,6087,3765,11.9,3741,13.1,3690,14.3,2375,39
02/15/2023,39165,7,Warren County,OH,98.6,167862,71.6,166339,75.1,157366,79,143894,80.9,34742,95,157492,67.1,156589,70.7,21034,48.4,148244,74.4,135555,76.2,32943,94.3,89976,57.1,89954,57.4,87770,59.2,82338,60.7,50227,70.4,26000,78.9,26863,53.5,16060,61.8,A,3,3,3,3,3,4,Metro,3,3,3,3,3,4,4,4,4,3,4,4,4,3,234602,221371,43498,199174,177873,34945,37245,16.8,36201,18.2,34377,19.3,14758,42.2
02/15/2023,17015,7,Carroll County,IL,97.9,10743,75.1,10738,79.1,10531,84,10188,88.2,3861,95,9723,68,9720,71.6,461,22.8,9551,76.2,9259,80.2,3516,95,4950,50.9,4950,50.9,4929,51.6,4862,52.5,3840,63.7,2490,70.8,1999,52.1,1510,60.6,A,3,3,1,3,4,4,Non-metro,7,7,5,7,8,8,4,4,4,3,8,8,8,7,14305,13575,2026,12530,11549,3691,2206,16.3,2197,17.5,2185,18.9,1500,40.6
02/15/2023,20157,7,Republic County,KS,93.9,2574,55.5,2573,59,2538,64,2444,67.2,1057,82,2414,52.1,2413,55.3,116,16,2383,60.1,2297,63.2,1010,78.4,1266,52.4,1266,52.5,1262,53,1248,54.3,1034,65.2,735,72.8,449,43.4,363,49.4,A,2,2,1,2,2,3,Non-metro,6,6,5,6,6,7,4,4,4,3,8,8,8,7,4636,4362,726,3963,3636,1289,507,11.6,504,12.7,498,13.7,346,26.8
02/15/2023,12009,7,Brevard County,FL,98.6,474129,78.8,473109,82.3,463203,87.1,440752,89.4,154864,95,403553,67,402941,70.1,28248,34.6,394604,74.2,374693,76,134643,92.4,187409,46.4,187395,46.5,186330,47.2,181920,48.6,141037,58.3,88361,65.6,67992,48.2,48220,54.6,B,7,7,6,7,7,8,Metro,3,3,2,3,3,4,7,7,7,7,3,3,3,3,601942,574545,81758,532062,492787,145752,74663,13,74119,13.9,72988,14.8,43563,29.9
02/15/2023,05131,7,Sebastian County,AR,92.1,81910,64.1,81717,68.5,79001,73.5,72888,75,18889,90,67715,53,67648,56.7,6856,30.9,65738,61.1,60792,62.6,16187,77.1,28508,42.1,28505,42.1,28294,43,27238,44.8,19161,58.5,11000,68,8764,45.7,5851,53.2,D,14,14,14,14,14,15,Metro,2,2,2,2,2,3,15,15,15,15,3,3,3,3,127827,119308,22154,107538,97154,20986,11729,9.8,11637,10.8,11359,11.7,6307,30.1
02/15/2023,13171,7,Lamar County,GA,88.8,7712,40.4,7703,42.9,7570,46.1,7176,47.5,2356,71,6827,35.8,6826,38,425,14.9,6726,40.9,6401,42.4,2242,67.6,3153,46.2,3153,46.2,3141,46.7,3083,48.2,2434,58.8,1548,69,1070,44,787,50.8,C,9,9,9,9,9,11,Metro,1,1,1,1,1,3,11,11,11,11,3,3,3,3,19077,17964,2858,16428,15106,3316,1153,6.4,1150,7,1136,7.5,707,21.3
02/15/2023,40091,7,McIntosh County,OK,93.8,12592,64.3,12581,67.5,12431,72.5,11932,75.7,4867,95,10979,56,10977,58.9,535,18.6,10856,63.3,10442,66.3,4399,86.8,5234,47.7,5234,47.7,5215,48,5150,49.3,4366,59.5,2953,67.1,1998,45.8,1559,52.8,D,14,14,13,14,15,16,Non-metro,6,6,5,6,7,8,15,15,15,15,7,7,7,7,19596,18630,2874,17147,15756,5069,2154,11.6,2145,12.5,2124,13.5,1483,29.3
