transcript	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0334489	60.0667	20.2132	0	20.0222	20.1806	0
FBtr0100600	347.637	76.2208	105.204	290.623	66.9556	123.991
FBtr0300305	0	0	0	0	0	0
FBtr0077162	2	0	0	0	0	0
FBtr0072277	396	214	249	433	190	202
FBtr0344898	0	0	0	0	0	0
FBtr0086817	0	0	0	0	0	0
FBtr0333271	6.02237e-4	0	33.1798	47.1412	23.3566	16.0646
FBtr0072639	99.9994	54	15.8202	45.8588	10.6434	7.93544
FBtr0340000	124.37	9.83615	6.47257	234.572	6.51312	3.29169
FBtr0087390	249.63	174.164	206.527	780.428	463.487	550.708
FBtr0070472	0	2.46965	11.3094	4.22797e-8	0.0272162	1.76032e-6
FBtr0331752	1114.48	547.402	645.85	1341.13	825.841	604.687
FBtr0070475	273.872	137.688	178.136	158.225	146.963	128.164
FBtr0070474	39.693	40.7299	4.04992	63.2175	3.85588	19.7355
FBtr0302185	23.3201	6.11134	26.0662	14.2901	18.9929	4.11534
FBtr0070471	554.994	235.181	242.504	543.414	263.198	186.204
FBtr0112828	115.761	91.2252	105.808	241.407	127.033	105.691
FBtr0301966	44.852	35.7117	12.6367	0	22.4611	0
FBtr0070468	349.371	264.689	430.125	50.6715	377.461	328.481
FBtr0070476	0	0	0	0	0	1.24162
FBtr0070470	22.1093	0	0	0	0	0
FBtr0331751	26.8982	18.7129	27.9472	35.4531	8.00427	14.3036
FBtr0070469	2083.14	376.573	474.536	2344.41	450.437	296.424
FBtr0070467	0	0	0	0	0	0
FBtr0331753	163.671	16.7537	42.1562	163.907	38.7293	12.1993
FBtr0070466	0	84.2106	2.55907e-4	501.87	0.98102	139.713
FBtr0070473	0	0	0	0	0	0
FBtr0076265	1438	484	700	1586	524	543
FBtr0331935	198.042	0	0	166.977	0	0
FBtr0088237	518.958	396	518	706.023	360	439
FBtr0081705	0	0	0	0	0	0
FBtr0088524	1156	669	797	1034	535	588
FBtr0074540	220	119	135	250	103	104
FBtr0074494	7	5	4	9	3	2
FBtr0085714	2464.67	2776.12	2781.01	2934.44	2515.2	3326.09
FBtr0085713	45187.3	19291.9	23884	61910.6	24674.7	25893.9
FBtr0076256	3	2	2	1	2	3
FBtr0339552	714.341	125.253	116.267	509.07	108.243	91.9999
FBtr0078950	248.659	289.747	336.733	350.93	277.757	285
FBtr0070990	83.0446	6.8419	7.55033	123.462	7.51745	3.83125
FBtr0100409	291.814	2.6156	0	196.529	0	0
FBtr0343330	305.333	367.618	459.525	407.788	332.526	404.217
FBtr0304902	0	1	5.85444	0	1	1
FBtr0304901	1	0	3.14556	3	0	0
FBtr0078872	2	0	1	2	0	1
FBtr0077839	223.253	236.323	198.169	339.779	132.16	99.2585
FBtr0077837	124.646	0	17.2363	71.9286	18.7737	111.445
FBtr0077838	0.00137066	35.1571	4.07036e-6	0.0213883	110.009	21.2826
FBtr0077836	990.1	289.52	505.595	974.271	237.057	308.014
FBtr0075133	146.242	12.6196	10.4934	108.637	8.40346	18.9417
FBtr0332862	48.7582	30.3804	62.5066	198.363	99.5965	68.0583
FBtr0087988	198.881	1976.52	2257.92	1321.01	1759.54	1686.07
FBtr0087987	10551.1	5562.2	7020	9321.99	3878.42	5102.78
FBtr0074688	629	499	615	752	467	523
FBtr0086864	720	285	363	707	268	270
FBtr0083361	0	0	0	0	0	0
FBtr0392904	2515.37	303.744	325.996	1217.84	179.807	144.123
FBtr0084588	1860.89	1175.22	1814.3	3196.78	960.849	703.17
FBtr0303161	773.817	247.268	206.564	758.841	613.204	719.165
FBtr0079257	424	184	232	539	219	248
FBtr0307341	0	0	0	0	0	0
FBtr0084989	0.776722	1	0.83636	0	1.82646	0.879689
FBtr0306309	4.52637	0	0	5.69899	1	0
FBtr0344570	10.4736	6	1	4.30101	0	2
FBtr0078090	542	231	283	696	251	250
FBtr0087439	187	54	77	185	51	63
FBtr0070960	8	2	6	0	6	0
FBtr0302357	0	0	0	0	0	8
FBtr0302356	0	0	0	6	0	0
FBtr0340571	0	0	0	0	0	0
FBtr0340572	0	0	0	0	0	0
FBtr0080267	0	0	0	0	0	0
FBtr0077141	0	0	0	0	0	0
FBtr0306593	0	0	0	0	0	0
FBtr0081719	2071	985	1195	2040	764	884
FBtr0071549	535	314	408	699	289	356
FBtr0308832	103.538	54.322	103.541	9.24624	52.6966	100.619
FBtr0308833	588.662	371.69	460.616	1193.74	401.992	373.319
FBtr0074921	928.8	113.988	37.8433	713.018	85.3111	57.0619
FBtr0073011	3	1	1	1	2	0
FBtr0112378	2	0	0	0	0	0
FBtr0342602	394.404	0	0	294.881	0	0
FBtr0080326	925.596	612.371	754	1021.12	544	629.645
FBtr0085405	1250	613	740	1309	603	701
FBtr0339295	0	0	0	0	0	0
FBtr0300316	0	0	0	0	0	0
FBtr0300904	0	0	0	0	0	0
FBtr0081633	2	0	0	0	0	0
FBtr0300905	0	0	0	2	0	0
FBtr0335279	0	0	0	0	0	0
FBtr0335281	0	0	0	0	2	0
FBtr0290216	3	0	0	4	0	0
FBtr0335280	5.15864e-7	0	0	2.3336e-7	0	0
FBtr0077120	276	191.764	215.197	297	195.362	182.437
FBtr0081676	0	0	0	0	0	0
FBtr0076639	8	3	2	4.8028	1	1
FBtr0079280	1	0	2	0	0	0
FBtr0304827	0	18.35	0	0	0	26.8728
FBtr0433494	15.7685	0	22.351	22.9932	1.02942e-4	2.5298
FBtr0333832	0	0	0	11.2536	6.16715	3.97143
FBtr0433497	4.61669e-4	9.24777	0.0185242	0	0	0.0148448
FBtr0333833	0	0	0	0	18.3896	0
FBtr0433496	0	2.88916e-4	3.92669	0	0	0
FBtr0304826	0	0	3.05459e-7	33.3184	0	0
FBtr0433495	0.0153666	0.00295052	3.3092	0.00123411	8.45139e-4	0
FBtr0433493	29.2481	6.58037	0	3.96704	3.07383	3.29273
FBtr0300808	0	0	0	1	0	0
FBtr0300809	0	0	0	0	0	0.552
FBtr0301700	0	0	0	0	0	0.224
FBtr0072287	2342	1027	1170	2372	927	994
FBtr0343633	1011.8	31.2308	0	2475.08	135.447	78.7619
FBtr0074281	1667.82	1202.06	1358.71	1216.52	1186.87	1244.14
FBtr0343632	66.2684	47.272	77.2809	23.708	69.412	0
FBtr0074279	3867.88	924.435	1146.37	4148.27	974.032	1104.78
FBtr0074280	0.232003	0	38.6443	2.42244	54.238	39.3189
FBtr0072238	0	0	0	0	0	0
FBtr0308073	3.27802	12.7912	11.3013	20.7674	13.1269	6.47061
FBtr0082360	631.444	340.209	397.699	583.918	298.708	345.673
FBtr0082361	39.2777	0	0	13.315	6.16488	17.8567
FBtr0079938	56	25	42	45	21	29
FBtr0077227	1121.87	653.501	841.389	1233.73	612.845	690.336
FBtr0091702	114.133	16.9989	17.6108	64.2682	11.1554	20.6643
FBtr0074882	475.478	292.581	439.949	536.349	281.883	268.096
FBtr0332153	297.23	46.9789	55.6503	314.714	58.648	41.1365
FBtr0310476	25.883	136.882	49.9424	116.037	115.925	94.8876
FBtr0100666	256.478	57.6432	136.147	289.7	73.3364	108.703
FBtr0332726	11.9319	18.9144	11.3111	54.2008	22.2079	31.177
FBtr0080287	238.265	99.8842	197.262	285.31	100.985	110.269
FBtr0309307	0	0	0	0	0	0
FBtr0300898	1	0	1	0	0	0
FBtr0080024	144	51.0189	70	166	39.1898	44.5064
FBtr0077389	2502	1257	1683	2996	1272	1286
FBtr0290204	0	0	0	0	0	0
FBtr0086689	29.9596	166.416	101.122	25.012	86.9818	119.18
FBtr0306636	623.627	177.134	222.249	313.098	127.849	162.895
FBtr0086687	874.587	79.4172	155.963	894.261	211.465	122.832
FBtr0086690	0.0238662	0	0	0	0	0
FBtr0086686	133.893	0	0	0	0	0
FBtr0340359	96.962	0	67.2795	92.2903	35.7298	37.1317
FBtr0301148	446.85	445.202	592.812	1238.54	405.803	519.929
FBtr0086684	1.07976	0	0	0	0	0
FBtr0306637	0.0830184	37.8306	0	0	0.0177221	0.0407546
FBtr0301149	262.934	0	9.57377	29.7935	9.15437	10.9908
FBtr0086600	65.6774	0	0	45.7263	14.1016	31.8994
FBtr0331978	394.323	158	196	375.274	132.898	134.101
FBtr0078769	15710	12542	15176	25912	12820	14832
FBtr0070712	17	9	8	20	9	10
FBtr0343263	2	0	0	0	0	0
FBtr0343264	0	0	0	7.42497e-7	0	8.02632e-6
FBtr0072024	0	0	0	0.999999	0	1.99999
FBtr0113111	0	0	0	0	0	0
FBtr0333452	0	13.4455	0	6.68413	10.624	6.72645
FBtr0333450	0	1.55455	11	24.3159	6.37602	4.27354
FBtr0333451	0	4.90418e-7	3.31749e-6	3.56839e-6	7.70844e-7	2.66472e-6
FBtr0300831	26	0	0	0	0	0
FBtr0076303	67.9219	23.422	22.0906	0	50.5192	0
FBtr0076302	2.4201	12.6458	5.54139	32.2608	0.035648	41.6576
FBtr0076301	1508.66	772.932	1112.37	1143.74	546.445	584.342
FBtr0077098	1214	620.236	752.803	1235	544.638	593.563
FBtr0070552	0	0	1	1	0	0
FBtr0075818	472	244	317	466	209	253
FBtr0088789	181	60	80	136	53	65
FBtr0304960	0	0	0	0	0	0
FBtr0075249	1	1	0	0	0	0
FBtr0084104	7028	2667	3216	6278	2312	2587
FBtr0336911	403.05	97.4455	129.592	459.299	106.72	190.852
FBtr0088974	200.134	161.76	211.077	372.379	225.238	168.322
FBtr0100360	81.5521	6.83278	29.2274	58.785	0	5.87215
FBtr0110880	0	0	0	0	0	0.284881
FBtr0334105	0	0	0	0	0	1.53651
FBtr0301185	0	0	0	0	0	4.69767e-6
FBtr0110881	120.448	55.1672	69.7726	143.215	97	75.3065
FBtr0336928	0	0	2	0	0	4
FBtr0072107	2	1	0	2	0	0
FBtr0085786	1013.35	382.084	473.257	625.076	272.19	274
FBtr0085785	109.65	0	0	35.7394	0	0
FBtr0334549	0	29.9163	33.7428	0.171628	26.8099	0
FBtr0334550	0	0	0	0.0125518	0	0
FBtr0340191	3113.89	9.22678e-6	9.45727e-6	447.382	2.52211e-6	2.17118e-5
FBtr0073848	650.107	2019	2182	3776.62	1884	1985
FBtr0078387	664.338	206.437	241.698	534.217	204.56	175.559
FBtr0087487	403	200	225	397	193	217
FBtr0083735	0	0	0	0	0	0
FBtr0332539	1	1	1	2	0	0
FBtr0077790	0	0	0	0	0	0
FBtr0331440	0	0	0	0	0	0
FBtr0331439	0	0	0	0	0	0
FBtr0082634	380	222	253	374	191	177
FBtr0079612	171	54.381	66	124	42	54.6138
FBtr0087980	0	0	0	0	0	0
FBtr0087979	2	0	0	2	0	0
FBtr0072044	0	0	0	0	0	0
FBtr0343206	0	0	0	0	0	0
FBtr0072043	0	0	0	0	0	0
FBtr0075225	0	0	0	2	1	0
FBtr0112489	38.884	16.9411	27.4643	39.6395	16	20.0851
FBtr0339263	21.6359	0	3.46597	7.36054	0	1.85535
FBtr0301018	70	12	25	51	25	18
FBtr0302526	46	13.0328	13.3245	41	12.4093	14.8136
FBtr0100009	286	135	166	343	99	134
FBtr0089901	0	0.00824386	0	0	0	9.43879
FBtr0089902	10.3277	0	0	0	0	1.34153e-7
FBtr0300562	401.157	114.447	100.499	211.647	114.159	81.1292
FBtr0089900	0	0	0	0	0	0
FBtr0089904	91.1207	0	0	0	0	0
FBtr0301521	169.917	13.6581	13.8484	12.9273	0	12.6391
FBtr0089905	128.478	13.8869	47.6529	219.426	61.8414	42.793
FBtr0345390	143.108	12.5081	0	31.1104	12.4972	12.5143
FBtr0331425	112.884	126.622	156.302	55.1303	101.347	56.3201
FBtr0332155	448.008	93.8703	163.698	314.759	39.1552	49.1656
FBtr0075014	0	0	0	0	1.44049e-4	8.62703e-7
FBtr0078874	0	0	0	0	0	1
FBtr0083452	716.387	188.619	285.998	654.093	258.944	220.251
FBtr0302317	466.613	341.381	317.002	577.907	304.056	356.749
FBtr0333248	0	0	0	0	0	0
FBtr0114524	3	1	0	3	2	4
FBtr0273385	198.582	4.14664	0	197.247	56.2324	103.065
FBtr0339307	0	44.3073	15.2347	179.217	52.0559	0
FBtr0273384	116.418	133.546	221.765	409.536	216.712	172.935
FBtr0082117	48.1337	74.6223	80.4406	201.795	139.544	112.771
FBtr0082116	319.274	71.9216	46.4677	289.945	88.3446	78.4643
FBtr0082118	182.766	84.6044	96.0917	338.26	133.111	100.765
FBtr0085011	1	4	1	1	0	1
FBtr0081174	0	0	0	0	0	0
FBtr0081175	0	0	0	0	0	0
FBtr0303241	79.2661	69.0912	70.389	124.727	42.5558	52.8097
FBtr0081176	68.55	0	0	13.0229	0	0
FBtr0305129	1208.15	229.222	273	794	203.672	235
FBtr0339156	140.852	39.7776	0	4.3466e-8	46.3279	0
FBtr0339157	0	0	0	0	0	6.15494e-8
FBtr0071784	82.1593	0	0	28.2154	0	0
FBtr0071785	1081.84	700.038	807.651	1811.78	799	896
FBtr0089148	381.08	0	33.6467	97.4696	46.4252	10.3201
FBtr0089147	317.664	51.2074	0	2.15346e-8	5.41706e-7	2.45503
FBtr0089150	537.466	31.2291	52.305	111.102	0	30.0942
FBtr0089146	299.344	5.22434	76.7694	0	12.3803	68.6024
FBtr0308247	1059.42	447.231	437.279	1699.44	708.098	531.528
FBtr0089149	167.03	34.1084	0	42.987	41.0961	0
FBtr0302559	0	0	0	0	0	0
FBtr0346506	0	0	0	0	0	0
FBtr0302190	166.294	0.00706051	68.3025	179.235	24.5798	0.0121422
FBtr0086145	248.706	204.993	159.697	260.765	187.42	206.988
FBtr0306281	0	0	0	0	0	0
FBtr0306280	0	0	0	0	0	0
FBtr0306258	3286.49	40.8651	42.4735	3856	42.5173	85.161
FBtr0073119	2143.65	2375.42	1973.5	2413.56	1573.91	1180.52
FBtr0073120	4743.98	1621.47	2435.97	1639.06	926.261	861.399
FBtr0073118	10985	2698.95	2785.16	5539.45	1867.04	1548.57
FBtr0337055	363.53	236.256	332.529	297.65	278.224	245.622
FBtr0333895	84.3366	1681.04	2370.25	56.2738	1361.53	1631.86
FBtr0337056	0	0	22.1154	1637	443.509	288.859
FBtr0077442	140	49	60	118	52	46
FBtr0076018	95.4682	20.742	16.8251	79.4299	19.2681	21.2973
FBtr0076017	59.5318	60.258	81.1749	82.5701	43.7319	41.7027
FBtr0339781	2	0	0	0	0	0
FBtr0070778	0	0	0	0	0	0
FBtr0344824	0	1	0	0	0	0
FBtr0345292	47.9766	33.0713	40.8117	0	102.614	64.1608
FBtr0070983	0	97.3727	56.3126	0	77.9016	0
FBtr0070982	6411.87	13.9216	6.93239	5283.87	7.48223	10.0964
FBtr0070981	8192.28	379.291	465.861	20619.8	427.231	578.759
FBtr0070980	16554.9	22972.3	28893.1	15906.4	22504.8	29493
FBtr0307300	782.319	223.122	308.824	573	222.63	249.68
FBtr0113024	15.681	25.7368	0	0	27.2292	12.3202
FBtr0332600	0	0	0	0	0	0
FBtr0083414	455.007	314.206	420.466	672.137	328.439	300.902
FBtr0337043	230.993	17.7935	14.5343	92.863	3.56099	25.0982
FBtr0077516	1	0	0	0	0	1
FBtr0112524	23.6476	19	13.6407	43	15	12
FBtr0089233	338.921	42.6185	43.6404	0	67.2122	0.132243
FBtr0334626	0.111766	0	18.5785	80.152	23.6252	55.539
FBtr0310651	1628.83	64.2665	0.0610576	399.705	72.1438	0.0903366
FBtr0089229	569.139	472.115	603.72	2090.14	532.019	570.238
FBtr0082920	1	0	0	1	0	0
FBtr0077386	486	217.182	285.706	525	209.114	215.399
FBtr0071106	0	0	0	2	0	0
FBtr0070937	2423.24	1805.64	2143.14	2977.36	1074.27	1545.39
FBtr0070938	3734.76	907.355	1181.86	3322.64	1480.73	1024.61
FBtr0070397	9	9	9	16	9	2
FBtr0074346	0	0	0	1	0	0
FBtr0071471	0	0	0.929528	0.938438	0	0
FBtr0330316	0	0	0.0704723	0.0615618	0	0
FBtr0074918	288	138.13	189.395	334	111	144.346
FBtr0072124	572	304	357.132	678	281	346.177
FBtr0071683	803	534	651	1132	470	494
FBtr0077403	0	0	3.28901	15.9974	0	0
FBtr0113021	0	0	0	0	0	0
FBtr0077402	0	1	0	0	0	0
FBtr0077401	8	0	1.71099	0.00259399	8	3
FBtr0300280	4	2	2	4	1	0
FBtr0346378	0	0	0	0	0	0
FBtr0074809	938.659	697.106	808.319	635.969	446.052	451.812
FBtr0335137	186.341	0	6.93957	138.031	6.94832	0
FBtr0346141	31.0133	1.97898	0	12.0607	3.87025	0
FBtr0085611	4.98667	9.02102	6	3.93926	11.1297	6
FBtr0074029	4	2	0	2	0	0
FBtr0075388	11	2	0.324833	7	0	2
FBtr0343534	0	0	2.67517	0	2	0
FBtr0086001	3	5	7	4	2	1
FBtr0321315	0	0	0	0	0	0
FBtr0333037	145.709	0	0	72.8532	24.4806	0
FBtr0075724	116.797	62.8185	62.6127	289.147	86.2633	78.5994
FBtr0075723	3.49425	12.1815	38.3873	3.58706e-7	6.25616	22.4006
FBtr0342770	40.0425	0.00998135	7.24248	70.1758	0.0416982	0.0309972
FBtr0070420	3161.33	2044.99	2350.76	4384.19	2418.96	2117.97
FBtr0342771	678.626	0	0	399.635	0	0
FBtr0333323	257.415	2.45165e-5	12.8366	25.8291	2.04455e-6	0
FBtr0333322	35.1356	18.9144	0	0	32.2251	16.6697
FBtr0074137	64.4956	11.567	45.4288	69.3105	0.00225416	0
FBtr0074135	1703.95	767.519	869.735	2368.86	792.773	900.33
FBtr0308136	0	0	0	0	0	0
FBtr0080237	0	0	0	0	0	0
FBtr0300638	0	0	0.666667	0	0.666667	0
FBtr0073729	221.635	65	55.7895	240.036	85.8462	59.871
FBtr0084836	196	106	111	241	80	109
FBtr0082430	148.386	9.6289	0	174.455	9.33088	0
FBtr0335211	266.614	172.371	249	217.545	110.669	157
FBtr0076857	11	8	7	9	2	7
FBtr0300424	21	6	7	26	6	0
FBtr0083860	329.219	65.2157	0	516.013	22.1449	0
FBtr0302327	2156.27	1485.07	2001.11	2129.04	1297.61	1628.9
FBtr0083861	1217.51	114.712	119.889	1579.94	173.245	178.104
FBtr0083086	276.526	208.598	239.076	317.673	138.106	176.049
FBtr0334589	162.64	29.8801	21.7863	132.958	45.4187	25.3925
FBtr0091874	3.90605	0	1.72632	0.443903	1.88338	1.51117
FBtr0073935	2	0	0	3	0	0
FBtr0073300	0	0	0	0	0	0
FBtr0073299	0	0	0	0	0	0
FBtr0088841	57.4869	36.0518	33.1844	55.9368	36.861	34.7844
FBtr0088842	851.962	533.59	670.233	1053.77	465.716	560.053
FBtr0345599	4.90324	0	0	5.49275	0	0
FBtr0070422	0	0	2	2.11803	4	6
FBtr0342772	0	2.69695	0	0	0	0
FBtr0070421	8.09676	1.30305	0	1.38922	1	0
FBtr0333023	0	0	0	0	0	0
FBtr0075579	3	1	5	4	2	2
FBtr0072248	0	9.33761e-4	0	0.00447365	0	0
FBtr0345620	0	0	0	0	0	0
FBtr0072247	4	0.999066	3	6.99553	0	0
FBtr0072253	308.45	0	0	291.049	0	14.7037
FBtr0343432	151.735	231	269	205.741	173	189.094
FBtr0073127	0.00704323	0.0027452	0.00654031	0.00268116	0.00177248	0.0037331
FBtr0073128	4.99296	1.99725	4.99346	2.99732	1.99823	1.99627
FBtr0079458	0	0	0	2.18747	0	0
FBtr0079460	13.4939	10	12.6262	14.1672	9.74856	8.56958
FBtr0079462	0	0	1.05501	1.09489	0	0
FBtr0079461	0	1	1.05593	2.19313	0	0
FBtr0079459	13.5061	7	5.26287	16.3573	3.25144	6.43042
FBtr0081997	255.817	185.219	297.777	460.162	287.108	376.889
FBtr0081996	38.26	0	16.1983	80.1355	27.166	6.33084
FBtr0336761	215.923	97.7806	66.0244	278.703	91.7261	64.7797
FBtr0336637	0	0	4	0	0	3
FBtr0300693	2.65992	0	0	0	0	0
FBtr0336636	2.33108	0	0	0	3.52279	0
FBtr0071797	0	0	0	0	0	0
FBtr0336638	0.00899909	1	0	1	1.47721	0
FBtr0087382	1138.92	1217.43	1488.82	1030.7	887.144	854
FBtr0339998	1396.12	0	0	972.297	25.0366	0
FBtr0301478	908.079	411.82	434.569	996.061	541.736	493.174
FBtr0089521	168.989	64.0181	106.622	65.2558	45.6984	91.4172
FBtr0306351	19.812	28.81	31.7284	43.0254	8.0658	18.7152
FBtr0306350	57.7616	27.4266	27.3919	194.208	25.1855	26.1946
FBtr0330046	168.989	64.0181	106.622	65.2558	45.6984	91.4172
FBtr0301477	76.3706	31.907	18.0676	82.1931	42.6158	32.0816
FBtr0300224	1.61664	0	0	0	0	0
FBtr0114515	1.65883	2	1.37483	1.13385	0	0
FBtr0087406	0	0	0	0	0	0
FBtr0072888	0	1	0	0	0	0
FBtr0085859	0	0	1	0	0	1
FBtr0334894	3829.03	2003.13	2658.34	3812.78	2101.35	1902.08
FBtr0084460	1939.62	304.282	91.1658	2060.85	182.445	334.84
FBtr0304567	45.343	230.585	175.494	818.368	330.201	150.085
FBtr0070907	3730	1971	2351.36	5044.45	2252	2158
FBtr0070906	0	0	7.64426	21.1077	0	0
FBtr0305911	285.623	123.528	238.056	53.9879	72.8986	97.2681
FBtr0289953	242.141	127.748	104.944	366.185	111.548	63.7891
FBtr0305910	226.235	32.7238	0	200.827	53.5536	50.9428
FBtr0088312	0	0	0	16.0116	3.46815	0
FBtr0088313	0	0	1.08436e-4	0	9.32306	0
FBtr0088311	0	16.9259	11.9217	0	0	11
FBtr0304592	51	10.0741	20.0782	13.9884	8.20879	0
FBtr0088882	1650	1037	1286	1951	920	1046
FBtr0079894	522.978	259.849	408.487	580.79	359.65	266.36
FBtr0331635	0.0253045	57.7015	56.6263	3.48372e-6	59.1924	185.557
FBtr0345615	281.628	81.3533	91.2149	341.975	60.9025	81.408
FBtr0071338	5322	3192	3759	8406	4649	4458
FBtr0334508	4.37449	0	4	4.37449	0	0
FBtr0085746	0.62551	5	0	3.62551	1	0
FBtr0085085	1122.85	820.815	1008.01	750.892	346.669	390
FBtr0085084	159.151	4.18465	10.9863	28.108	4.33116	0
FBtr0079304	0	0	0	0	0	0
FBtr0079732	0	0	1	0	0	0
FBtr0071108	0	33.8296	152.801	8.27094	0	134.982
FBtr0340139	8.27176	35.8716	0	14.826	0	0
FBtr0071107	1662.19	899.602	1097	2418.27	1071.22	919.798
FBtr0340138	431.534	37.697	48.1999	240.631	61.7763	69.2203
FBtr0309839	1.25395	0	0	0.764601	0	0
FBtr0309836	1571.53	0	0	1572.08	0	0
FBtr0309837	653.885	0.00930631	4.77033e-4	557.156	139.557	21.0348
FBtr0073144	5667.11	4046.96	5089.72	7039.38	4491.21	4254
FBtr0309838	1423.22	98.0292	76.2759	1253.62	44.2302	59.9606
FBtr0075152	1275.67	485.623	544	1517	522.73	558
FBtr0300092	0	0	0	0	0	0
FBtr0073892	0	0	0	0	0	0
FBtr0343143	0	0	0	0	0	0
FBtr0332630	706.377	54.9154	23.7346	569.742	41.1142	12.0095
FBtr0332631	1527.91	458.79	514.191	1076.84	419.378	488.462
FBtr0332632	950.451	280.316	328.865	939.534	420.784	282.872
FBtr0301268	13	5	5	17	6	4
FBtr0085909	12	5	6	13	5	1
FBtr0080763	763	355	470	690	281	282
FBtr0086733	409	214	311	455	206	226
FBtr0087262	1131	762	993	1138	588	723
FBtr0303232	58	37	35	24	5	16
FBtr0344155	2102.26	472.367	562.097	1661.78	311.352	231.246
FBtr0070316	1196.74	1034.63	1239.9	1736.22	1270.65	1158.75
FBtr0344279	5	1	5	8.14444	2	4
FBtr0076133	7	2	8	7	0	3
FBtr0082259	1661.59	873.165	1059	1583	833	874
FBtr0079708	376.534	140.001	186	819	355.154	429.67
FBtr0330181	246.701	0	0	338.802	0	3.43423
FBtr0074894	582.299	348	478	622.198	315	411.566
FBtr0082726	142.541	26.3089	68.827	15.8878	56.275	0
FBtr0331429	62.1231	0	37.455	0	0	32.2874
FBtr0331428	209.279	137.21	72.9036	286.285	111.02	9.2097e-5
FBtr0082727	21.3577	91.2575	78.0631	0	62.7	60.6226
FBtr0301219	89.6996	65.2236	143.751	332.827	86.0053	226.09
