target_id	length	eff_length	est_counts	tpm
FBtr0339552	1718	1544.78	125.253	11.944
FBtr0078950	1533	1359.78	289.747	31.3893
FBtr0070990	1321	1147.78	6.8419	0.87811
FBtr0100409	805	631.781	2.6156	0.609868
FBtr0343330	706	532.781	367.618	101.644
FBtr0304902	1617	1443.78	1	0.102031
FBtr0304901	2286	2112.78	0	0
FBtr0078872	1228	1054.78	0	0
FBtr0077839	2112	1938.78	236.323	17.956
FBtr0077837	2331	2157.78	0	0
FBtr0077838	2235	2061.78	35.1571	2.5119
FBtr0077836	2325	2151.78	289.52	19.8204
FBtr0075133	4018	3844.78	12.6196	0.483511
FBtr0332862	2190	2016.78	30.3804	2.21904
FBtr0087988	1754	1580.78	1976.52	184.188
FBtr0087987	1948	1774.78	5562.2	461.672
FBtr0074688	1633	1459.78	499	50.3552
FBtr0086864	3503	3329.78	285	12.6084
FBtr0083361	1283	1109.78	0	0
FBtr0392904	4164	3990.78	303.744	11.2119
FBtr0084588	2385	2211.78	1175.22	78.2727
FBtr0303161	2639	2465.78	247.268	14.7722
FBtr0079257	1918	1744.78	184	15.5349
FBtr0307341	906	732.781	0	0
FBtr0084989	527	353.781	1	0.416387
FBtr0306309	750	576.781	0	0
FBtr0344570	539	365.781	6	2.41636
FBtr0078090	1219	1045.78	231	32.5389
FBtr0087439	546	372.781	54	21.3389
FBtr0070960	2096	1922.78	2	0.153226
FBtr0302357	2296	2122.78	0	0
FBtr0302356	2428	2254.78	0	0
FBtr0340571	3830	3656.78	0	0
FBtr0340572	3825	3651.78	0	0
FBtr0080267	3305	3131.78	0	0
FBtr0077141	787	613.781	0	0
FBtr0306593	981	807.781	0	0
FBtr0081719	1938	1764.78	985	82.2199
FBtr0071549	1655	1481.78	314	31.216
FBtr0308832	1068	894.781	54.322	8.94316
FBtr0308833	2043	1869.78	371.69	29.2834
FBtr0074921	2263	2089.78	113.988	8.03508
FBtr0073011	1996	1822.78	1	0.080816
FBtr0112378	450	276.781	0	0
FBtr0342602	1596	1422.78	0	0
FBtr0080326	1217	1043.78	612.371	86.4246
FBtr0085405	675	501.781	613	179.961
FBtr0339295	331	157.808	0	0
FBtr0300316	205	34.0182	0	0
FBtr0300904	2130	1956.78	0	0
FBtr0081633	2196	2022.78	0	0
FBtr0300905	2052	1878.78	0	0
FBtr0335279	1234	1060.78	0	0
FBtr0335281	1199	1025.78	0	0
FBtr0290216	733	559.781	0	0
FBtr0335280	740	566.781	0	0
FBtr0077120	1711	1537.78	191.764	18.3698
FBtr0081676	887	713.781	0	0
FBtr0076639	2093	1919.78	3	0.230198
FBtr0079280	1148	974.781	0	0
FBtr0304827	5797	5623.78	18.35	0.480662
FBtr0433494	6405	6231.78	0	0
FBtr0333832	6581	6407.78	0	0
FBtr0433497	5654	5480.78	9.24777	0.248557
FBtr0333833	6118	5944.78	0	0
FBtr0433496	5848	5674.78	0.000288916	7.49988e-06
FBtr0304826	8410	8236.78	0	0
FBtr0433495	8302	8128.78	0.00295052	5.34693e-05
FBtr0433493	8251	8077.78	6.58037	0.120002
FBtr0300808	2019	1845.78	0	0
FBtr0300809	4061	3887.78	0	0
FBtr0301700	4064	3890.78	0	0
FBtr0072287	5108	4934.78	1027	30.6573
FBtr0343633	2816	2642.78	31.2308	1.74082
FBtr0074281	2640	2466.78	1202.06	71.7841
FBtr0343632	2730	2556.78	47.272	2.72359
FBtr0074279	3898	3724.78	924.435	36.5601
FBtr0074280	3895	3721.78	0	0
FBtr0072238	1035	861.781	0	0
FBtr0308073	1317	1143.78	12.7912	1.64741
FBtr0082360	764	590.781	340.209	84.8302
FBtr0082361	1024	850.781	0	0
FBtr0079938	1428	1254.78	25	2.93497
FBtr0077227	1279	1105.78	653.501	87.058
FBtr0091702	1278	1104.78	16.9989	2.2666
FBtr0074882	2425	2251.78	292.581	19.1405
FBtr0332153	3588	3414.78	46.9789	2.02662
FBtr0310476	2042	1868.78	136.882	10.79
FBtr0100666	2416	2242.78	57.6432	3.78611
FBtr0332726	2033	1859.78	18.9144	1.49818
FBtr0080287	1089	915.781	99.8842	16.0671
FBtr0309307	5887	5713.78	0	0
FBtr0300898	5037	4863.78	0	0
FBtr0080024	1050	876.781	51.0189	8.57179
FBtr0077389	2263	2089.78	1257	88.6066
FBtr0290204	1958	1784.78	0	0
FBtr0086689	848	674.781	166.416	36.3299
FBtr0306636	1574	1400.78	177.134	18.6279
FBtr0086687	1472	1298.78	79.4172	9.00763
FBtr0086690	2195	2021.78	0	0
FBtr0086686	1532	1358.78	0	0
FBtr0340359	2225	2051.78	0	0
FBtr0301148	981	807.781	445.202	81.1886
FBtr0086684	908	734.781	0	0
FBtr0306637	2237	2063.78	37.8306	2.7003
FBtr0301149	1514	1340.78	0	0
FBtr0086600	1106	932.781	0	0
FBtr0331978	1118	944.781	158	24.6353
FBtr0078769	621	447.781	12542	4126.03
FBtr0070712	1878	1704.78	9	0.777688
FBtr0343263	1108	934.781	0	0
FBtr0343264	928	754.781	0	0
FBtr0072024	920	746.781	0	0
FBtr0113111	979	805.781	0	0
FBtr0333452	4664	4490.78	13.4455	0.441047
FBtr0333450	3996	3822.78	1.55455	0.059904
FBtr0333451	4043	3869.78	4.90418e-07	1.86686e-08
FBtr0300831	4092	3918.78	0	0
FBtr0076303	1640	1466.78	23.422	2.35229
FBtr0076302	1655	1481.78	12.6458	1.25716
FBtr0076301	2049	1875.78	772.932	60.7003
FBtr0077098	1123	949.781	620.236	96.1978
FBtr0070552	1047	873.781	0	0
FBtr0075818	1346	1172.78	244	30.6482
FBtr0088789	1908	1734.78	60	5.09493
FBtr0304960	503	329.781	0	0
FBtr0075249	843	669.781	1	0.219937
FBtr0084104	1804	1630.78	2667	240.912
FBtr0336911	2177	2003.78	97.4455	7.1638
FBtr0088974	1597	1423.78	161.76	16.7363
FBtr0100360	4963	4789.78	6.83278	0.210142
FBtr0110880	2920	2746.78	0	0
FBtr0334105	2225	2051.78	0	0
FBtr0301185	2946	2772.78	0	0
FBtr0110881	4262	4088.78	55.1672	1.98755
FBtr0336928	1138	964.781	0	0
FBtr0072107	995	821.781	1	0.179257
FBtr0085786	2956	2782.78	382.084	20.2261
FBtr0085785	3082	2908.78	0	0
FBtr0334549	2894	2720.78	29.9163	1.61974
FBtr0334550	3020	2846.78	0	0
FBtr0340191	4545	4371.78	9.22678e-06	3.10902e-07
FBtr0073848	4477	4303.78	2019	69.1063
FBtr0078387	3371	3197.78	206.437	9.50976
FBtr0087487	2027	1853.78	200	15.8929
FBtr0083735	2688	2514.78	0	0
FBtr0332539	2448	2274.78	1	0.0647578
FBtr0077790	977	803.781	0	0
FBtr0331440	941	767.781	0	0
FBtr0331439	971	797.781	0	0
FBtr0082634	1746	1572.78	222	20.793
FBtr0079612	1320	1146.78	54.381	6.98551
FBtr0087980	1799	1625.78	0	0
FBtr0087979	1558	1384.78	0	0
FBtr0072044	1063	889.781	0	0
FBtr0343206	1072	898.781	0	0
FBtr0072043	1160	986.781	0	0
FBtr0075225	1132	958.781	0	0
FBtr0112489	446	272.781	16.9411	9.14869
FBtr0339263	740	566.781	0	0
FBtr0301018	2276	2102.78	12	0.840657
FBtr0302526	640	466.781	13.0328	4.11297
FBtr0100009	3280	3106.78	135	6.4011
FBtr0089901	2338	2164.78	0.00824386	0.000560981
FBtr0089902	1803	1629.78	0	0
FBtr0300562	2617	2443.78	114.447	6.89879
FBtr0089900	2125	1951.78	0	0
FBtr0089904	2355	2181.78	0	0
FBtr0301521	2467	2293.78	13.6581	0.877145
FBtr0089905	2568	2394.78	13.8869	0.854222
FBtr0345390	5214	5040.78	12.5081	0.365533
FBtr0331425	3556	3382.78	126.622	5.51398
FBtr0332155	4408	4234.78	93.8703	3.26534
FBtr0075014	3541	3367.78	0	0
FBtr0078874	603	429.781	0	0
FBtr0083452	2975	2801.78	188.619	9.91707
FBtr0302317	2262	2088.78	341.381	24.0756
FBtr0333248	2543	2369.78	0	0
FBtr0114524	2411	2237.78	1	0.0658285
FBtr0273385	6171	5997.78	4.14664	0.101845
FBtr0339307	6637	6463.78	44.3073	1.00977
FBtr0273384	6439	6265.78	133.546	3.1397
FBtr0082117	3807	3633.78	74.6223	3.02511
FBtr0082116	6303	6129.78	71.9216	1.72841
FBtr0082118	4671	4497.78	84.6044	2.77094
FBtr0085011	1569	1395.78	4	0.422157
FBtr0081174	4145	3971.78	0	0
FBtr0081175	3934	3760.78	0	0
FBtr0303241	4041	3867.78	69.0912	2.63143
FBtr0081176	3893	3719.78	0	0
FBtr0305129	2997	2823.78	229.222	11.958
FBtr0339156	2994	2820.78	39.7776	2.07731
FBtr0339157	2988	2814.78	0	0
FBtr0071784	2049	1875.78	0	0
FBtr0071785	1989	1815.78	700.038	56.7924
FBtr0089148	3050	2876.78	0	0
FBtr0089147	2773	2599.78	51.2074	2.90153
FBtr0089150	2762	2588.78	31.2291	1.77703
FBtr0089146	2709	2535.78	5.22434	0.303495
FBtr0308247	2614	2440.78	447.231	26.992
FBtr0089149	2840	2666.78	34.1084	1.88411
FBtr0302559	2531	2357.78	0	0
FBtr0346506	2597	2423.78	0	0
FBtr0302190	3048	2874.78	0.00706051	0.000361795
FBtr0086145	3054	2880.78	204.993	10.4824
FBtr0306281	375	201.808	0	0
FBtr0306280	392	218.808	0	0
FBtr0306258	4812	4638.78	40.8651	1.29772
FBtr0073119	3828	3654.78	2375.42	95.744
FBtr0073120	4106	3932.78	1621.47	60.7351
FBtr0073118	4763	4589.78	2698.95	86.6232
FBtr0337055	3442	3268.78	236.256	10.647
FBtr0333895	3491	3317.78	1681.04	74.6385
FBtr0337056	4046	3872.78	0	0
FBtr0077442	1411	1237.78	49	5.83155
FBtr0076018	1266	1092.78	20.742	2.79608
FBtr0076017	963	789.781	60.258	11.2393
FBtr0339781	3357	3183.78	0	0
FBtr0070778	3093	2919.78	0	0
FBtr0344824	2804	2630.78	1	0.0559947
FBtr0345292	830	656.781	33.0713	7.41758
FBtr0070983	837	663.781	97.3727	21.6095
FBtr0070982	1100	926.781	13.9216	2.21281
FBtr0070981	941	767.781	379.291	72.7725
FBtr0070980	854	680.781	22972.3	4970.83
FBtr0307300	2919	2745.78	223.122	11.9704
FBtr0113024	3030	2856.78	25.7368	1.32712
FBtr0332600	2913	2739.78	0	0
FBtr0083414	2815	2641.78	314.206	17.5206
FBtr0337043	3789	3615.78	17.7935	0.724922
FBtr0077516	1338	1164.78	0	0
FBtr0112524	1274	1100.78	19	2.54264
FBtr0089233	3691	3517.78	42.6185	1.78468
FBtr0334626	3376	3202.78	0	0
FBtr0310651	3526	3352.78	64.2665	2.82365
FBtr0089229	3501	3327.78	472.115	20.899
FBtr0082920	981	807.781	0	0
FBtr0077386	1734	1560.78	217.182	20.4981
FBtr0071106	2301	2127.78	0	0
FBtr0070937	2201	2027.78	1805.64	131.173
FBtr0070938	2487	2313.78	907.355	57.7679
FBtr0070397	1267	1093.78	9	1.21211
FBtr0074346	819	645.781	0	0
FBtr0071471	1606	1432.78	0	0
FBtr0330316	1609	1435.78	0	0
FBtr0074918	1253	1079.78	138.13	18.8445
FBtr0072124	2163	1989.78	304	22.5061
FBtr0071683	1189	1015.78	534	77.4413
FBtr0077403	1061	887.781	0	0
FBtr0113021	1089	915.781	0	0
FBtr0077402	1231	1057.78	1	0.139263
FBtr0077401	1011	837.781	0	0
FBtr0300280	1584	1410.78	2	0.208834
FBtr0346378	3461	3287.78	0	0
FBtr0074809	2896	2722.78	697.106	37.7153
FBtr0335137	3353	3179.78	0	0
FBtr0346141	373	199.808	1.97898	1.45902
FBtr0085611	272	98.8429	9.02102	13.4444
FBtr0074029	585	411.781	2	0.715476
FBtr0075388	1505	1331.78	2	0.221222
FBtr0343534	2295	2121.78	0	0
FBtr0086001	1762	1588.78	5	0.463594
FBtr0321315	1239	1065.78	0	0
FBtr0333037	2846	2672.78	0	0
FBtr0075724	2737	2563.78	62.8185	3.60943
FBtr0075723	2084	1910.78	12.1815	0.939118
FBtr0342770	3744	3570.78	0.00998135	0.000411773
FBtr0070420	3766	3592.78	2044.99	83.8479
FBtr0342771	3838	3664.78	0	0
FBtr0333323	2883	2709.78	2.45165e-05	1.33277e-06
FBtr0333322	2930	2756.78	18.9144	1.0107
FBtr0074137	2347	2173.78	11.567	0.783854
FBtr0074135	2386	2212.78	767.519	51.0954
FBtr0308136	1697	1523.78	0	0
FBtr0080237	698	524.781	0	0
FBtr0300638	3446	3272.78	0	0
FBtr0073729	466	292.781	65	32.7041
FBtr0084836	743	569.781	106	27.405
FBtr0082430	1248	1074.78	9.6289	1.31974
FBtr0335211	1142	968.781	172.371	26.2102
FBtr0076857	1307	1133.78	8	1.03942
FBtr0300424	902	728.781	6	1.21279
FBtr0083860	1793	1619.78	65.2157	5.931
FBtr0302327	1744	1570.78	1485.07	139.272
FBtr0083861	1877	1703.78	114.712	9.91803
FBtr0083086	1479	1305.78	208.598	23.5327
FBtr0334589	2552	2378.78	29.8801	1.85038
FBtr0091874	595	421.781	0	0
FBtr0073935	992	818.781	0	0
FBtr0073300	818	644.781	0	0
FBtr0073299	2460	2286.78	0	0
FBtr0088841	1522	1348.78	36.0518	3.93746
FBtr0088842	1468	1294.78	533.59	60.7076
FBtr0345599	2094	1920.78	0	0
FBtr0070422	1749	1575.78	0	0
FBtr0342772	681	507.781	2.69695	0.782398
FBtr0070421	1547	1373.78	1.30305	0.139726
FBtr0333023	2495	2321.78	0	0
FBtr0075579	1678	1504.78	1	0.0978945
FBtr0072248	2815	2641.78	0.000933761	5.2068e-05
FBtr0345620	2931	2757.78	0	0
FBtr0072247	2800	2626.78	0.999066	0.0560276
FBtr0072253	1306	1132.78	0	0
FBtr0343432	1090	916.781	231	37.1174
FBtr0073127	1478	1304.78	0.0027452	0.000309933
FBtr0073128	1471	1297.78	1.99725	0.226706
FBtr0079458	1541	1367.78	0	0
FBtr0079460	1595	1421.78	10	1.03609
FBtr0079462	1526	1352.78	0	0
FBtr0079461	1505	1331.78	1	0.110611
FBtr0079459	1585	1411.78	7	0.730403
FBtr0081997	1156	982.781	185.219	27.7627
FBtr0081996	1257	1083.78	0	0
FBtr0336761	1233	1059.78	97.7806	13.5915
FBtr0336637	3026	2852.78	0	0
FBtr0300693	1964	1790.78	0	0
FBtr0336636	3290	3116.78	0	0
FBtr0071797	3770	3596.78	0	0
FBtr0336638	1523	1349.78	1	0.109136
FBtr0087382	5033	4859.78	1217.43	36.9028
FBtr0339998	5235	5061.78	0	0
FBtr0301478	2790	2616.78	411.82	23.1831
FBtr0089521	2653	2479.78	64.0181	3.80295
FBtr0306351	2221	2047.78	28.81	2.07249
FBtr0306350	2503	2329.78	27.4266	1.73416
FBtr0330046	2653	2479.78	64.0181	3.80295
FBtr0301477	4782	4608.78	31.907	1.01984
FBtr0300224	1562	1388.78	0	0
FBtr0114515	1508	1334.78	2	0.220725
FBtr0087406	329	155.808	0	0
FBtr0072888	2130	1956.78	1	0.0752817
FBtr0085859	1170	996.781	0	0
FBtr0334894	6412	6238.78	2003.13	47.2979
FBtr0084460	6624	6450.78	304.282	6.94858
FBtr0304567	3987	3813.78	230.585	8.90649
FBtr0070907	2510	2336.78	1971	124.251
FBtr0070906	2636	2462.78	0	0
FBtr0305911	1961	1787.78	123.528	10.1785
FBtr0289953	2161	1987.78	127.748	9.46709
FBtr0305910	2015	1841.78	32.7238	2.61733
FBtr0088312	1656	1482.78	0	0
FBtr0088313	2297	2123.78	0	0
FBtr0088311	2351	2177.78	16.9259	1.14491
FBtr0304592	2591	2417.78	10.0741	0.613791
FBtr0088882	1935	1761.78	1037	86.7079
FBtr0079894	2382	2208.78	259.849	17.33
FBtr0331635	2356	2182.78	57.7015	3.89411
FBtr0345615	2623	2449.78	81.3533	4.89192
FBtr0071338	3399	3225.78	3192	145.767
FBtr0334508	4486	4312.78	0	0
FBtr0085746	3506	3332.78	5	0.221001
FBtr0085085	1541	1367.78	820.815	88.4017
FBtr0085084	2075	1901.78	4.18465	0.324138
FBtr0079304	905	731.781	0	0
FBtr0079732	925	751.781	0	0
FBtr0071108	3145	2971.78	33.8296	1.67692
FBtr0340139	3231	3057.78	35.8716	1.72813
FBtr0071107	3426	3252.78	899.602	40.7406
FBtr0340138	4238	4064.78	37.697	1.36616
FBtr0309839	4403	4229.78	0	0
FBtr0309836	4378	4204.78	0	0
FBtr0309837	3952	3778.78	0.00930631	0.000362792
FBtr0073144	4107	3933.78	4046.96	151.548
FBtr0309838	4006	3832.78	98.0292	3.76767
FBtr0075152	2917	2743.78	485.623	26.0724
FBtr0300092	607	433.781	0	0
FBtr0073892	1096	922.781	0	0
FBtr0343143	1534	1360.78	0	0
FBtr0332630	1663	1489.78	54.9154	5.43004
FBtr0332631	1364	1190.78	458.79	56.7563
FBtr0332632	5997	5823.78	280.316	7.09046
FBtr0301268	1587	1413.78	5	0.520978
FBtr0085909	2020	1846.78	5	0.398829
FBtr0080763	2304	2130.78	355	24.5426
FBtr0086733	1297	1123.78	214	28.052
FBtr0087262	852	678.781	762	165.37
FBtr0303232	702	528.781	37	10.3076
FBtr0344155	6716	6542.78	472.367	10.6353
FBtr0070316	6065	5891.78	1034.63	25.8685
FBtr0344279	6745	6571.78	1	0.0224155
FBtr0076133	3030	2856.78	2	0.10313
FBtr0082259	2901	2727.78	873.165	47.154
FBtr0079708	1718	1544.78	140.001	13.3504
FBtr0330181	847	673.781	0	0
FBtr0074894	650	476.781	348	107.521
FBtr0082726	2913	2739.78	26.3089	1.41455
FBtr0331429	2603	2429.78	0	0
FBtr0331428	2948	2774.78	137.21	7.28432
FBtr0082727	2606	2432.78	91.2575	5.52583
FBtr0301219	3098	2924.78	65.2236	3.28506
FBtr0088166	1239	1065.78	0	0
FBtr0310646	1830	1656.78	42.698	3.79642
FBtr0073730	1370	1196.78	1562.3	192.301
FBtr0079724	633	459.781	13.9851	4.48072
FBtr0346454	899	725.781	10.914	2.21519
FBtr0100541	611	437.781	18860.1	6346.27
FBtr0343865	1567	1393.78	0	0
FBtr0079324	1294	1120.78	2	0.26287
FBtr0079598	1156	982.781	328	49.1642
FBtr0081220	1093	919.781	0	0
FBtr0300823	1159	985.781	0	0
FBtr0081221	1054	880.781	80.8975	13.53
FBtr0310645	979	805.781	70.1025	12.8159
FBtr0081219	1084	910.781	0	0
FBtr0075314	465	291.781	126	63.6128
FBtr0070136	2103	1929.78	42.7101	3.26028
FBtr0070137	2193	2019.78	50.8489	3.70859
FBtr0070135	2124	1950.78	194.441	14.6829
FBtr0076688	2391	2217.78	373.519	24.8099
FBtr0346546	2609	2435.78	0	0
FBtr0302935	3103	2929.78	212.059	10.6624
FBtr0082329	3115	2941.78	174.941	8.76017
FBtr0344017	5279	5105.78	0	0
FBtr0091678	6366	6192.78	360.576	8.57715
FBtr0344016	5395	5221.78	20.7032	0.584049
FBtr0342985	4422	4248.78	216.471	7.5053
FBtr0071815	4360	4186.78	495.213	17.4238
FBtr0071816	4190	4016.78	1.12603e-06	4.12956e-08
FBtr0071813	4216	4042.78	5851.99	213.233
FBtr0342986	4124	3950.78	733.949	27.3662
FBtr0071814	4255	4081.78	73.3474	2.64708
FBtr0083049	682	508.781	241.803	70.0104
FBtr0079593	751	577.781	0	0
FBtr0332415	1011	837.781	33.6277	5.91286
FBtr0345640	3934	3760.78	150.431	5.89239
FBtr0077562	3784	3610.78	1424.57	58.1184
FBtr0085387	5031	4857.78	256.977	7.79269
FBtr0085386	4880	4706.78	492.023	15.399
FBtr0085614	355	181.808	19.9199	16.1401
FBtr0303924	5093	4919.78	5	0.149712
FBtr0303923	5120	4946.78	0	0
FBtr0300811	4420	4246.78	527	18.2803
FBtr0340626	2866	2692.78	0	0
FBtr0340627	2995	2821.78	0	0
FBtr0340628	2870	2696.78	0	0
FBtr0087784	1976	1802.78	2224.21	181.746
FBtr0332882	2246	2072.78	0	0
FBtr0339391	1899	1725.78	662.791	56.5747
FBtr0084095	7188	7014.78	62.3406	1.30915
FBtr0343807	7002	6828.78	0	0
FBtr0343805	4551	4377.78	0.00492403	0.000165691
FBtr0343806	4719	4545.78	697.654	22.6081
FBtr0086801	711	537.781	3.3846	0.927113
FBtr0344145	6340	6166.78	0	0
FBtr0100454	3868	3694.78	0	0
FBtr0082255	6557	6383.78	0	0
FBtr0082256	4226	4052.78	0	0
FBtr0100455	2462	2288.78	0	0
FBtr0088783	1907	1733.78	602.394	51.1821
FBtr0301333	1977	1803.78	0	0
FBtr0332689	1974	1800.78	0	0
FBtr0086107	5316	5142.78	1703	48.7807
FBtr0072159	694	520.781	1	0.282863
FBtr0076218	2574	2400.78	56.5513	3.46994
FBtr0076219	2478	2304.78	808.449	51.6719
FBtr0113346	1241	1067.78	3	0.413876
FBtr0100083	570	396.781	0	0
FBtr0079765	644	470.781	0	0
FBtr0071734	1182	1008.78	0	0
FBtr0071191	1056	882.781	60.3236	10.0662
FBtr0345988	1286	1112.78	9.67636	1.28096
FBtr0071902	1064	890.781	54.1909	8.96163
FBtr0332909	904	730.781	333.809	67.2887
FBtr0078892	1301	1127.78	3879	506.672
FBtr0073061	323	149.808	1	0.983324
FBtr0081973	1959	1785.78	2.899	0.239139
FBtr0333190	1343	1169.78	3.101	0.390507
FBtr0072990	764	590.781	181	45.1319
FBtr0076205	2178	2004.78	13.1786	0.968356
FBtr0076204	2232	2058.78	149.821	10.72
FBtr0081487	2064	1890.78	328.711	25.6097
FBtr0331678	2435	2261.78	18.2893	1.19118
FBtr0086674	751	577.781	1105	281.728
FBtr0113686	2779	2605.78	26	1.46983
FBtr0113685	2706	2532.78	0	0
FBtr0072069	2783	2609.78	14.6799	0.828611
FBtr0072067	2762	2588.78	0	0
FBtr0072070	2827	2653.78	227.355	12.6204
FBtr0332926	2655	2481.78	0	0
FBtr0072068	2775	2601.78	61.2977	3.47061
FBtr0072066	2608	2434.78	1.66711	0.100864
FBtr0087059	1547	1373.78	932	99.9379
FBtr0074966	4094	3920.78	342.017	12.8501
FBtr0333896	4347	4173.78	98.983	3.49351
FBtr0302288	1725	1551.78	0	0
FBtr0086613	5546	5372.78	63	1.72732
FBtr0091795	4018	3844.78	27.6627	1.05988
FBtr0300891	3895	3721.78	0	0
FBtr0091794	5531	5357.78	0	0
FBtr0091793	5663	5489.78	1.66863	0.044775
FBtr0300892	5540	5366.78	0	0
FBtr0091792	3886	3712.78	0	0
FBtr0301734	675	501.781	93	27.3024
FBtr0342889	1080	906.781	45.5389	7.39796
FBtr0071618	1141	967.781	63.4611	9.65966
FBtr0344856	10063	9889.78	0	0
FBtr0329838	8191	8017.78	0	0
FBtr0329840	7444	7270.78	1.42248e-07	2.88202e-09
FBtr0332236	5661	5487.78	0	0
FBtr0329844	5383	5209.78	105.477	2.98243
FBtr0329839	5484	5310.78	52.582	1.45851
FBtr0329842	8096	7922.78	0	0
FBtr0332237	8123	7949.78	0	0
FBtr0336736	7649	7475.78	139.734	2.75346
FBtr0329846	9896	9722.78	0	0
FBtr0329845	9210	9036.78	0	0
FBtr0329843	7328	7154.78	51.2067	1.05429
